Election Year,Election Type,Provocation Description,Provocation Date
5/2/58,National Assembly,Hijacking of South Korean Plane,2/16/58
5/2/58,National Assembly,U.S. Plane Shot Down by NK,3/6/58
3/15/60,Presidential,NK Fighter Jets Attack U.S. Navy Plane,6/15/59
6/29/60,National Assembly,Exchange of Fire and Sinking of NK Vessel,7/30/60
8/12/60,Presidential,Exchange of Fire and Sinking of NK Vessel,7/30/60
10/15/63,Presidential,DMZ Exchange of Fire,11/20/62
10/15/63,Presidential,DMZ Exchange of Fire,7/29/63
11/26/63,National Assembly,NK Attacks U.S. Airforce Plane,11/14/64
11/26/63,National Assembly,NK Fighter Jets Attack U.S. Reconnaissance Plane,4/28/65
5/3/67,Presidential,Infiltration and Incursion,5/17/66
5/3/67,Presidential,DMZ Exchange of Fire,11/2/66
5/3/67,Presidential,Sinking of South Korean Patrol Boat,1/19/67
5/3/67,Presidential,Infiltration and Incursion (Territorial),4/12/67
5/3/67,Presidential,Infiltration and Incursion (Maritime),4/17/67
6/8/67,National Assembly,Attack on U.S. Military Barracks,5/22/67
6/8/67,National Assembly,Infiltration and Incursion,6/10/67
6/8/67,National Assembly,Infiltration and Incursion,6/17/67
6/8/67,National Assembly,Infiltration and Incursion,6/23/67
6/8/67,National Assembly,Infiltration and Incursion,6/28/67
6/8/67,National Assembly,Infiltration and Incursion,6/29/67
6/8/67,National Assembly,Infiltration and Incursion,7/3/67
6/8/67,National Assembly,Infiltration and Incursion,7/5/67
6/8/67,National Assembly,Infiltration and Incursion,7/14/67
6/8/67,National Assembly,Infiltration and Incursion,7/18/67
6/8/67,National Assembly,Ambush on U.S. Soldiers,8/10/67
6/8/67,National Assembly,Ambush on U.S. Soldiers,8/28/67
6/8/67,National Assembly,Ambush on U.S. Soldiers,8/29/67
6/8/67,National Assembly,Bombing of Train Station Terror Act,9/5/67
6/8/67,National Assembly,Bombing of Train Station Terror Act,9/13/67
6/8/67,National Assembly,Raid on Blue House (Cheong Wa Dae),1/21/68
6/8/67,National Assembly,Seizure of USS Pueblo,1/23/68
6/8/67,National Assembly,Infiltration and Incursion - DMZ Exchange of Fire,4/14/68
6/8/67,National Assembly,Infiltration and Incursion - DMZ Exchange of Fire,4/21/68
6/8/67,National Assembly,Infiltration and Incursion - DMZ Exchange of Fire,8/5/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire on Jeju Island,8/21/68
6/8/67,National Assembly,Infiltration and Incursion - Arrest of Spy Ring on Jeju Island,8/24/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire,8/29/68
6/8/67,National Assembly,Infiltration and Incursion - DMZ Exchange of Fire,9/19/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire at West MDL,9/24/68
6/8/67,National Assembly,Infiltration and Incursion - DMZ Exchange of Fire,10/23/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,10/30/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,10/31/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,11/1/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,11/2/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok,11/3/68
6/8/67,National Assembly,Infiltration and Incursion - Exchange of Fire at Uljin,11/12/68
6/8/67,National Assembly,Infiltration and Incursion - DMZ Exchange of Fire,3/15/69
6/8/67,National Assembly,Assault by NK Armed Agent,3/18/69
6/8/67,National Assembly,Attack on U.S. Reconnaissance Plane,4/15/69
4/27/71,Presidential,Infiltration and Sinking of North Korean Vessel,6/8/69
4/27/71,Presidential,Capture of NK Spy Naval Vessel,6/12/69
4/27/71,Presidential,Sinking of NK Spy Naval Vessel,10/13/69
4/27/71,Presidential,Hijacking of South Korean Plane,12/11/69
4/27/71,Presidential,Hijacking of JAL Aircraft (Boeing 727),3/31/70
4/27/71,Presidential,Infiltration and Sinking of North Korean Vessel,4/4/70
4/27/71,Presidential,Infiltration and Incursion,4/8/70
4/27/71,Presidential,Seizure of South Korean Broadcasting Vessel,6/5/70
4/27/71,Presidential,Infiltration and Capture of North Korean Vessel,6/29/70
4/27/71,Presidential,Infiltration and Sinking of North Korean Vessel,7/28/70
4/27/71,Presidential,Infiltration and Sinking of North Korean Vessel,10/10/70
4/27/71,Presidential,Attempted Hijacking of KAL Aircraft,1/23/71
5/25/71,National Assembly,Infiltration and Sinking of North Korean Vessel,5/14/71
5/25/71,National Assembly,Infiltration and Incursion,6/1/71
5/25/71,National Assembly,Infiltration and Incursion - Exchange of Fire at DMZ,8/16/71
12/23/72,Presidential,Exchange of Fire at DMZ,3/7/73
2/27/73,National Assembly,Exchange of Fire at DMZ,3/7/73
2/27/73,National Assembly,Sinking of SK Fishing Boats and 30 Fishermen Detained,2/15/74
2/27/73,National Assembly,Infiltration and Incursion,5/21/74
2/27/73,National Assembly,Sinking of South Korean Coast Guard Vessel,6/28/74
2/27/73,National Assembly,Attempted Assasination of President Park Chung-hee,8/15/74
2/27/73,National Assembly,Infiltration and Discovery of NK Tunnel System,11/20/74
2/27/73,National Assembly,Collision and Sinking of North Korean Vessel,2/26/75
2/27/73,National Assembly,Major Henderson Incident,6/30/75
2/27/73,National Assembly,Infiltration and Incursion,9/11/75
2/27/73,National Assembly,Infiltration and Sinking of North Korean Vessel,10/6/75
7/6/78,Presidential,Infiltration and Incursion,6/21/76
7/6/78,Presidential,Panmunjom Axe Murder Incident,8/18/76
7/6/78,Presidential,Infiltration and Sinking of North Korean Vessel,4/28/78
7/6/78,Presidential,Infiltration and Sinking of North Korean Vessel,5/19/78
12/12/78,National Assembly,Killing of South Korean Civilians,11/4/78
12/12/78,National Assembly,Exchange of Fire at DMZ,11/7/78
12/6/79,Presidential,Infiltration and Sinking of North Korean Vessel,7/21/79
12/6/79,Presidential,Infiltration and Incursion,3/23/80
8/27/80,Presidential,Infiltration and Sinking of North Korean Vessel,6/21/80
8/27/80,Presidential,Exchange of Fire,11/4/80
